S&P	500	760.48	760.48	760.48		765.32
call	740	27.63	28.12	28.52	19.4	28.24	0.9868	1.0222
call	750	20.5	21	21.5	18.7	21.37	0.9937	1.0423
call	760	14.25	14.62	15	17.7	15.57	1.0383	1.093
call	770	9.5	9.75	10	17.2	10.9	1.0897	1.1471
call	780	5.63	5.88	6.13	16.5	7.31	1.1925	1.2984
call	790	3	3.19	3.38	15.8	4.69	1.3883	1.5642
call	800	1.5	1.69	1.88	15.6	2.88	1.5305	1.9282
put	740	6.5	6.69	6.88	19.6	5.34	0.776	0.8214
put	750	9.25	9.5	9.75	18.8	8.46	0.8681	0.915
put	760	13.25	13.42	13.62	18.2	12.67	0.9303	0.9563
put	770	18	18.38	18.75	17.5	17.99	0.9597	0.9996
put	780	23.75	24.25	24.75	16.6	24.41	0.9861	1.0276
put	790	31.25	31.75	32.25	16.3	31.79	0.9857	1.0172
put	800	39.63	40.13	40.63	16.1	39.97	0.9831	1.0087
